,nv,ret,max_d
2023/3/23,1.296971029,-0.01042397,-0.014048414
2023/3/24,1.298291029,0.001017756,-0.013044955
2023/3/27,1.305419029,0.005490294,-0.007626282
2023/3/28,1.308587029,0.002426807,-0.005217982
2023/3/29,1.308719029,0.000100872,-0.005117636
2023/3/30,1.294265029,-0.011044387,-0.016105503
2023/3/31,1.290635029,-0.002804681,-0.018865012
2023/4/3,1.279317925,-0.008768632,-0.027468224
2023/4/4,1.280549582,0.000962745,-0.026531924
2023/4/11,1.276021314,-0.003536191,-0.029974293
2023/4/12,1.27485307,-0.000915537,-0.030862387
2023/4/13,1.28187307,0.005506517,-0.025525814
2023/4/14,1.275844823,-0.004702687,-0.030108461
2023/4/17,1.275844823,0,-0.030108461
2023/4/18,1.276416123,0.000447782,-0.029674161
2023/4/19,1.26789914,-0.006672576,-0.036148734
2023/4/20,1.27389914,0.004732238,-0.03158756
2023/4/21,1.29399914,0.015778329,-0.01630763
2023/4/24,1.312784172,0.014517036,-0.002027333
2023/4/25,1.306544172,-0.004753257,-0.006770953
2023/4/26,1.304864172,-0.001285835,-0.008048081
2023/4/27,1.31335662,0.006508301,-0.00159216
2023/4/28,1.31335662,0,-0.00159216
2023/5/4,1.31335662,0,-0.00159216
2023/5/5,1.313148893,-0.000158165,-0.001750073
2023/5/8,1.326140871,0.009893758,0
2023/5/9,1.326140871,0,0
2023/5/10,1.326308532,0.000126428,0
2023/5/11,1.326511897,0.000153332,0
2023/5/12,1.337671985,0.008413108,0
2023/5/15,1.358035631,0.015223198,0
2023/5/16,1.362493479,0.003282571,0
2023/5/17,1.353913479,-0.006297278,-0.006297278
2023/5/18,1.349101521,-0.00355411,-0.009829007
2023/5/19,1.354381521,0.003913716,-0.005953759
2023/5/22,1.347847521,-0.004824342,-0.010749378
2023/5/23,1.353398039,0.004118061,-0.006675584
2023/5/24,1.337294039,-0.011898938,-0.01849509
2023/5/25,1.332542039,-0.003553444,-0.021982813
2023/5/29,1.329902039,-0.001981176,-0.023920437
2023/5/30,1.326544047,-0.002524992,-0.02638503
2023/5/31,1.338094047,0.008706835,-0.017907925
2023/6/1,1.335652047,-0.001824984,-0.019700227
2023/6/2,1.318360047,-0.012946486,-0.032391664
2023/6/5,1.323838047,0.004155162,-0.028371095
2023/6/6,1.336972047,0.009921153,-0.018731415
2023/6/7,1.341138644,0.003116443,-0.015673348
2023/6/8,1.350584796,0.007043382,-0.008740359
2023/6/9,1.343390796,-0.005326582,-0.014020385
2023/6/12,1.334752411,-0.006430285,-0.020360514
2023/6/13,1.34099317,0.004675593,-0.015780119
2023/6/14,1.34099317,0,-0.015780119
