,nv
2023-04-04,1.1073011711140015
2023-04-11,1.1073011711140015
2023-04-12,1.1062497511000016
2023-04-13,1.1125677511000016
2023-04-14,1.1071423286020017
2023-04-17,1.1071423286020017
2023-04-18,1.1071423286020017
2023-04-19,1.107455549770002
2023-04-20,1.1122555497700022
2023-04-21,1.1283355497700023
2023-04-24,1.1404575382180022
2023-04-25,1.1404575382180022
2023-04-26,1.1404575382180022
2023-04-27,1.1404575382180022
2023-04-28,1.1404575382180022
2023-05-04,1.1404575382180022
2023-05-05,1.1404575382180022
2023-05-08,1.1404575382180022
2023-05-09,1.1404575382180022
2023-05-10,1.1404575382180022
2023-05-11,1.1405947553500024
2023-05-12,1.1513702246080022
2023-05-15,1.1513702246080022
2023-05-16,1.1513702246080022
2023-05-17,1.1513702246080022
2023-05-18,1.151399670268002
2023-05-19,1.1557196702680017
2023-05-22,1.1503736702680019
2023-05-23,1.1583952786300022
2023-05-24,1.1583952786300022
2023-05-25,1.1583952786300022
2023-05-29,1.1583952786300022
2023-05-30,1.1580688888900024
2023-05-31,1.1685688888900025
2023-06-01,1.1663488888900029
2023-06-02,1.1506288888900027
2023-06-05,1.1556088888900027
2023-06-06,1.1675488888900027
2023-06-07,1.169982766870003
2023-06-08,1.170436459930003
2023-06-09,1.1638964599300028
2023-06-12,1.158349886650003
2023-06-13,1.158349886650003
2023-06-14,1.158349886650003
2023-06-15,1.158349886650003
2023-06-16,1.161295405588003
2023-06-19,1.1693414055880031
2023-06-20,1.171609405588003
2023-06-21,1.1875934055880033
2023-06-26,1.2004758945280036
2023-06-27,1.2012295392880037
2023-06-28,1.1997295392880036
2023-06-29,1.2047095392880036
2023-06-30,1.1981095392880037
2023-07-03,1.1827227769480038
2023-07-04,1.1827559980480036
2023-07-05,1.1921159980480036
2023-07-06,1.2006959980480039
2023-07-07,1.2031296897280035
2023-07-10,1.2032832903280035
2023-07-11,1.1949432903280037
2023-07-12,1.2012432903280033
2023-07-13,1.1818032903280034
2023-07-14,1.1824632903280035
2023-07-18,1.1941632903280035
2023-07-19,1.1944632903280035
2023-07-20,1.1986967901880037
2023-07-21,1.1986967901880037
2023-07-24,1.1986967901880037
2023-07-25,1.1986967901880037
2023-07-26,1.1986967901880037
2023-07-27,1.1951298898480036
2023-07-28,1.1666622539680036
2023-07-31,1.1692832003440035
2023-08-01,1.1736032003440036
2023-08-02,1.1821892003440035
2023-08-03,1.1733872003440036
2023-08-04,1.1684732003440037
2023-08-07,1.1769263839420037
2023-08-08,1.1778735936220037
2023-08-09,1.1793315936220037
2023-08-10,1.1803575936220037
2023-08-11,1.1989093100380037
2023-08-14,1.1989093100380037
2023-08-15,1.1958228057580036
2023-08-16,1.2027563911780037
2023-08-17,1.2027563911780037
2023-08-18,1.2027563911780037
2023-08-21,1.2027563911780037
2023-08-22,1.204590397498004
2023-08-23,1.213264646698004
2023-08-24,1.214678876578004
2023-08-25,1.2191532430780039
2023-08-28,1.2191532430780039
2023-08-29,1.219727034118004
2023-08-30,1.220447034118004
2023-08-31,1.225607034118004
2023-09-04,1.2030804566980042
2023-09-05,1.201674087658004
2023-09-06,1.204374087658004
2023-09-07,1.218088064998004
2023-09-11,1.218962031298004
2023-09-12,1.2199820312980039
2023-09-13,1.232376327418004
2023-09-14,1.232410536598004
2023-09-15,1.240784940358004
2023-09-18,1.240096540096004
2023-09-19,1.2425385400960038
2023-09-20,1.2439622142160038
2023-09-21,1.2439622142160038
2023-09-22,1.2407657243920038
2023-09-25,1.2512597243920038
2023-09-26,1.257171539686004
2023-09-27,1.257171539686004
